name_displayed,country_code,pop_2014,audience_2014,group,pct_audience_2014,region,attribute,listed_FIFA_2014,region_org
Colombia,COL,47791911,39413970,2,0.8246996024,South America,Country,Colombia,South America
South Korea,KOR,50746659,31155000,2,0.6139320423,Asia,Country,South Korea,Asia
Myanmar,MMR,51924182,14012753,2,0.2698694993,Asia,Country,Myanmar,Asia
Tanzania,TZA,52234869,2106717,2,0.04033162216,Africa,Country,Tanzania,Africa and Middle East
South Africa,ZAF,54539571,27541800,2,0.5049874705,Africa,Country,South Africa,Africa and Middle East
Italy,ITA,60789140,45346000,2,0.7459556098,Europe,Country,Italy,Europe
United Kingdom,GBR,64613160,44481000,2,0.6884201299,Europe,Country,United Kingdom,Europe
France,FRA,66331958.5,47165000,2,0.711044888,Europe,Country,France,Europe
Thailand,THA,68416772,33935498,2,0.4960113874,Asia,Country,Thailand,Asia
Congo DR,COD,73722860,3406884,2,0.04621204332,Africa,Country,Congo DR,Africa and Middle East
Turkey,TUR,77030628,39882923,2,0.5177540939,Europe,Country,Turkey,Europe
Iran,IRN,78411092,20499414,2,0.2614351296,Middle East,Country,Iran,Africa and Middle East
Germany,DEU,80982500,65831015,2,0.8129042077,Europe,Country,Germany,Europe
Vietnam,VNM,92544915,38880800,2,0.420128972,Asia,Country,Vietnam,Asia
Ethiopia,ETH,97366774,2920445,2,0.02999426683,Africa,Country,Ethiopia,Africa and Middle East
Philippines,PHL,100102249,587000,3,0.005864004114,Asia,Country,Philippines,Asia
Mexico,MEX,124221600,81473080,3,0.6558688666,"North, Central America & Caribbean",Country,Mexico,"North, Central America & Caribbean"
Japan,JPN,127276000,97331022,3,0.76472408,Asia,Country,Japan,Asia
Russia,RUS,143819666,75740000,3,0.5266317334,Europe,Country,Russia,Europe
Bangladesh,BGD,159405279,5985000,3,0.037545808,Asia,Country,Bangladesh,Asia
Nigeria,NGA,176460502,58475343,3,0.3313792171,Africa,Country,Nigeria,Africa and Middle East
Pakistan,PAK,185546257,14944339,3,0.08054239003,Asia,Country,Pakistan,Asia
Brazil,BRA,204213133,164602136,4,0.8060310989,South America,Country,Brazil,South America
Indonesia,IDN,255131116,103428000,4,0.4053915556,Asia,Country,Indonesia,Asia
United States,USA,318563456,105255000,5,0.3304051297,"North, Central America & Caribbean",Country,United States,"North, Central America & Caribbean"
India,IND,1293859294,85733200,5,0.06626161005,Asia,Country,India,Asia
China,CHN,1364270000,252277000,5,0.1849172085,Asia,Country,China,Asia
,,,,,,,,,
* Red areas are estimated,,,,,,,,,
